tempo_ms,temperatura_C,distancia_cm
354186,26.25,20.03
355857,26.25,20.01
356891,26.19,20.01
357924,26.19,19.92
358958,26.19,20.01
359992,26.19,20.01
361025,26.19,19.91
362058,26.19,20.03
363092,26.19,20.01
364126,26.19,19.92
365159,26.19,20.03
366193,26.19,20.01
367226,26.19,20.01
368260,26.19,20.01
369294,26.19,20.01
370327,26.19,20.03
371360,26.19,20.01
372395,26.19,20.03
373428,26.19,20.03
374461,26.25,20.01
376133,26.25,20.03
377166,26.25,20.01
378839,26.25,20.01
379873,26.19,20.01
381544,26.19,20.03
382577,26.25,20.01
384249,26.25,20.01
385283,26.25,20.01
