tempo_ms,temperatura_C,distancia_cm
83,26.12,10.42
1755,26.12,10.12
2788,26.06,10.54
3821,26.06,10.12
4853,26.12,10.61
5886,26.12,10.69
6920,26.12,10.66
7953,26.06,10.78
8985,26.12,10.98
10018,26.12,10.64
11052,26.12,11.49
12085,26.12,11.07
13117,26.12,11.14
14150,26.12,11.70
15183,26.12,11.36
16217,26.12,11.31
17250,26.12,10.95
18282,26.12,11.95
19954,26.12,12.02
20986,26.12,12.09
22020,26.12,12.24
23053,26.12,12.29
24086,26.12,11.83
25119,26.12,11.90
26152,26.12,12.43
27186,26.12,12.50
28218,26.12,12.55
29251,26.12,12.61
30284,26.12,12.77
31318,26.12,12.84
32351,26.12,12.78
33384,26.12,12.85
34417,26.12,12.50
35450,26.12,12.56
36484,26.12,13.09
38155,26.12,13.14
39188,26.12,13.21
40221,26.12,13.31
41892,26.12,13.38
42926,26.12,13.45
43959,26.12,13.50
44992,26.19,13.62
46663,26.19,13.67
47696,26.12,13.74
48730,26.12,13.79
49763,26.12,13.86
50796,26.12,13.91
51829,26.12,13.97
52862,26.19,14.08
54534,26.19,14.14
55567,26.12,14.21
56600,26.12,14.26
57633,26.12,14.33
58667,26.19,14.38
59700,26.12,14.45
60733,26.12,14.50
61766,26.12,14.55
62799,26.12,14.62
63833,26.19,14.69
64866,26.12,14.74
65899,26.19,15.22
66932,26.12,14.86
67965,26.12,14.93
68999,26.12,14.98
70032,26.19,15.03
71065,26.12,15.10
72098,26.12,15.15
73132,26.12,15.64
74165,26.19,15.69
75198,26.12,15.33
76231,26.12,15.39
77264,26.12,15.88
78298,26.19,15.05
79331,26.12,15.20
80364,26.12,15.27
81397,26.12,15.74
82430,26.12,15.69
83464,26.12,15.74
84497,26.12,15.81
85530,26.19,15.86
86563,26.12,15.93
87597,26.19,16.46
89269,26.19,16.52
90302,26.12,16.57
91335,26.12,16.63
92368,26.12,16.23
93402,26.19,16.29
94435,26.19,16.34
95469,26.19,16.40
97140,26.19,16.46
98173,26.12,16.51
99207,26.12,16.57
100240,26.12,16.64
101273,26.12,16.69
102307,26.19,16.76
103979,26.19,16.81
105012,26.12,16.88
106045,26.12,16.93
107078,26.12,17.00
108750,26.12,16.64
109784,26.12,17.12
110817,26.12,17.17
111850,26.12,17.24
113522,26.12,17.29
114555,26.12,17.36
115589,26.19,17.83
116623,26.12,17.88
117656,26.12,17.94
118689,26.12,17.53
119723,26.12,17.58
120756,26.19,17.65
122428,26.19,17.71
123461,26.12,17.77
124494,26.19,17.82
125529,26.12,18.31
126562,26.19,17.88
127595,26.19,17.95
128628,26.19,18.00
129662,26.19,18.48
130696,26.19,18.07
131729,26.12,18.11
132762,26.12,18.60
133796,26.12,18.65
134830,26.12,18.72
135863,26.12,18.29
136896,26.12,18.36
137930,26.12,18.84
138963,26.12,18.31
139997,26.12,18.48
141031,26.19,18.53
142702,26.19,19.01
143735,26.19,19.06
144770,26.12,18.65
145803,26.12,18.72
146836,26.19,19.19
147870,26.19,19.24
149541,26.19,19.30
150575,26.19,18.89
151609,26.19,19.36
152642,26.12,18.96
153675,26.19,19.01
154710,26.12,19.48
155743,26.19,19.43
156776,26.19,19.14
157810,26.19,19.60
158843,26.19,19.19
159877,26.12,19.24
160911,26.19,19.72
162582,26.19,19.77
163615,26.19,19.84
165287,26.19,19.84
166321,26.19,19.91
167355,26.19,19.48
168388,26.19,19.96
169421,26.12,19.53
170456,26.19,20.03
171489,26.19,19.60
172522,26.12,19.62
173556,26.12,20.09
174589,26.12,20.09
175623,26.19,19.67
177295,26.19,19.67
178328,26.12,20.14
179362,26.12,20.14
180396,26.12,19.72
181429,26.19,19.72
183101,26.19,20.20
184134,26.19,20.20
185806,26.19,20.20
186840,26.19,20.25
188512,26.19,20.25
189546,26.12,20.25
190579,26.12,20.14
191612,26.12,20.26
192647,26.12,20.26
193680,26.12,19.84
194713,26.12,20.26
195747,26.12,19.84
196781,26.12,19.82
197814,26.19,19.84
198848,26.12,19.84
199881,26.12,19.84
200914,26.19,20.31
202587,26.19,20.31
203621,26.19,20.21
205292,26.19,20.31
206326,26.19,20.31
207360,26.12,20.21
208393,26.12,20.31
209427,26.12,20.31
210460,26.19,20.31
211493,26.19,20.31
213166,26.19,20.31
214200,26.19,19.89
215871,26.19,19.89
216904,26.19,19.91
218576,26.19,19.91
219611,26.19,19.80
221282,26.19,19.91
222316,26.12,19.91
223349,26.12,19.80
224382,26.12,20.37
225417,26.12,20.38
226450,26.12,20.26
227483,26.19,20.38
228517,26.12,20.37
229551,26.12,20.37
230585,26.19,20.38
232256,26.19,20.37
233290,26.12,20.37
234323,26.12,20.28
235357,26.12,20.37
236391,26.12,20.37
237424,26.12,19.94
238457,26.12,19.96
239492,26.12,20.38
240525,26.12,20.38
241559,26.12,20.38
243230,26.12,20.38
244264,26.12,20.38
245298,26.19,19.86
246331,26.12,20.38
247365,26.12,20.38
248398,26.12,20.38
249432,26.19,20.38
250466,26.12,20.38
251499,26.12,19.97
252533,26.12,19.97
254204,26.12,20.38
255239,26.12,19.97
256910,26.12,19.97
257944,26.19,19.97
259615,26.19,19.96
260648,26.19,19.96
262321,26.19,19.96
263354,26.19,19.97
265026,26.19,19.97
266060,26.12,19.97
267731,26.12,19.97
268766,26.19,19.96
270437,26.19,19.96
271471,26.12,19.96
272504,26.12,19.86
273538,26.19,19.96
274572,26.12,19.53
275605,26.12,19.43
276638,26.19,19.55
277672,26.12,19.55
278706,26.19,19.50
279739,26.19,19.55
280773,26.19,19.97
281806,26.19,19.50
282840,26.12,20.43
283874,26.19,19.55
284907,26.19,19.45
285940,26.19,19.96
286974,26.19,19.55
288008,26.19,19.45
289041,26.19,19.55
290075,26.19,20.43
291108,26.19,19.45
292142,26.19,20.43
293176,26.19,20.43
294209,26.19,20.33
295242,26.19,20.43
296276,26.19,20.43
297310,26.19,20.43
298344,26.19,20.33
300015,26.19,20.43
301049,26.19,20.03
302083,26.12,20.33
303116,26.19,20.03
304150,26.19,20.43
305183,26.19,20.01
306216,26.19,20.01
307251,26.19,20.03
308284,26.19,20.01
309317,26.19,20.43
310989,26.19,20.01
312023,26.19,20.01
313695,26.19,20.01
314728,26.19,20.03
316400,26.19,20.01
317433,26.19,20.03
318468,26.19,20.01
319501,26.19,20.01
320534,26.19,20.01
322206,26.19,20.03
323239,26.19,20.03
324912,26.19,20.01
325945,26.19,20.01
327617,26.19,20.01
328650,26.19,20.03
329684,26.19,20.03
330718,26.19,20.01
331751,26.19,20.03
333423,26.19,20.03
334456,26.25,20.03
336129,26.25,20.03
337162,26.19,20.03
338834,26.19,20.03
339867,26.19,20.03
340901,26.19,20.03
341935,26.19,20.03
342969,26.19,20.01
344640,26.19,20.01
345673,26.19,20.01
347345,26.19,20.03
348379,26.19,20.03
350051,26.19,20.01
351084,26.19,20.03
352118,26.19,20.01
353152,26.19,20.03
