tempo_ms,temperatura_C,distancia_cm
83,26.25,11.42
1755,26.25,10.23
2788,26.25,10.64
3821,26.25,10.59
4853,26.25,10.90
6525,26.25,10.42
8197,26.25,11.02
9868,26.25,11.54
11539,26.25,11.12
12571,26.25,11.19
13604,26.25,11.82
14638,26.25,11.37
15671,26.25,11.90
16704,26.25,11.53
17736,26.25,11.59
19408,26.25,11.66
20441,26.25,12.19
21474,26.25,12.36
22507,26.31,12.00
23540,26.25,11.95
24573,26.25,12.50
25607,26.25,12.55
26640,26.25,12.14
27672,26.25,12.19
28705,26.25,12.34
29739,26.25,12.89
30772,26.25,12.95
31805,26.25,12.50
32838,26.25,12.55
33871,26.25,12.60
34905,26.25,12.67
35937,26.25,13.19
37609,26.25,13.26
38642,26.25,12.90
39674,26.31,13.45
41347,26.31,13.50
42380,26.25,13.57
43413,26.25,13.62
44446,26.25,13.67
45479,26.25,13.79
47151,26.25,13.86
48184,26.25,13.91
49217,26.25,13.97
50250,26.25,14.04
51283,26.25,14.09
52317,26.31,14.21
53988,26.31,14.26
55021,26.25,14.31
56054,26.25,14.81
57088,26.25,14.86
58121,26.25,14.50
59154,26.25,14.57
60187,26.25,14.62
61220,26.25,14.69
62254,26.25,14.74
63287,26.25,15.22
64320,26.25,15.28
65353,26.25,15.33
66386,26.25,15.39
67420,26.25,15.45
68453,26.25,15.10
69486,26.25,15.57
70519,26.25,15.62
71553,26.25,15.79
72586,26.25,15.86
73619,26.25,15.81
74652,26.25,15.86
75685,26.31,15.05
76719,26.25,15.52
77752,26.25,15.57
78785,26.25,15.62
79819,26.31,16.17
81490,26.31,16.22
82524,26.25,16.29
83557,26.25,16.44
84590,26.25,15.50
85623,26.25,15.98
86657,26.25,16.05
87690,26.25,16.10
88723,26.25,16.17
89757,26.31,16.69
91428,26.31,16.76
92462,26.25,16.03
93495,26.25,16.40
94528,26.25,16.46
95561,26.25,16.52
96594,26.25,16.57
97629,26.31,17.12
99300,26.31,17.17
100333,26.25,16.75
101366,26.25,16.83
102400,26.25,16.86
103434,26.25,17.36
104467,26.25,17.41
105500,26.25,17.48
106533,26.25,17.53
107567,26.25,17.12
108601,26.25,17.17
109634,26.25,17.24
110667,26.31,17.71
111700,26.25,17.77
112734,26.25,17.83
113768,26.25,17.41
114801,26.25,17.48
115834,26.25,17.54
116868,26.25,18.00
117902,26.25,17.65
119573,26.25,17.60
120606,26.25,18.17
121639,26.25,17.83
123312,26.25,18.19
124345,26.31,18.36
125378,26.25,18.00
127050,26.25,18.38
128083,26.25,18.07
129118,26.25,18.60
130789,26.25,18.19
131822,26.25,18.24
132856,26.25,18.29
133890,26.25,18.77
134923,26.25,18.36
135956,26.25,18.41
136990,26.25,18.89
138023,26.25,18.96
139057,26.25,18.53
140090,26.25,19.01
141124,26.25,19.07
142157,26.25,18.65
143191,26.25,18.72
144225,26.25,19.19
145258,26.25,18.77
146291,26.25,18.84
147324,26.25,19.31
148359,26.25,18.90
149392,26.25,19.38
150425,26.25,19.43
151459,26.25,19.02
152493,26.25,19.40
153526,26.25,19.57
154560,26.25,19.13
155593,26.25,19.50
156626,26.25,19.67
157661,26.25,19.26
158694,26.25,19.63
159727,26.25,19.33
160761,26.25,19.80
161795,26.25,19.80
162828,26.31,19.43
163862,26.25,19.48
165533,26.25,19.96
166566,26.31,20.03
168239,26.31,20.03
169272,26.25,19.60
170306,26.25,20.08
171339,26.25,20.08
172372,26.25,19.67
174045,26.25,19.67
175078,26.25,20.14
176112,26.25,20.13
177145,26.25,19.70
178179,26.25,19.72
179213,26.25,20.20
180246,26.25,20.20
181279,26.31,20.20
182951,26.31,19.77
183985,26.25,19.77
185019,26.25,20.67
186052,26.25,19.79
187086,26.31,20.14
188758,26.31,20.26
189792,26.25,20.25
190825,26.25,20.14
191858,26.25,19.84
192892,26.25,20.26
193926,26.31,19.86
194959,26.25,19.86
195993,26.25,19.84
197026,26.25,19.86
198060,26.25,20.31
199094,26.25,20.31
200127,26.25,20.33
201161,26.31,20.33
202832,26.31,20.31
203867,26.25,20.31
204900,26.25,20.21
205933,26.25,20.33
206967,26.25,20.33
208001,26.25,19.89
209034,26.25,19.89
210068,26.31,19.89
211101,26.31,19.91
212134,26.31,19.91
213169,26.31,19.89
214202,26.31,20.37
215235,26.31,19.91
216907,26.31,20.37
217942,26.25,20.37
218975,26.31,20.26
220008,26.31,20.38
221042,26.31,20.37
222075,26.31,20.38
223109,26.31,20.37
224143,26.25,20.37
225176,26.31,20.38
226210,26.25,20.38
227244,26.25,20.28
228277,26.31,20.38
229311,26.31,20.38
230344,26.31,20.38
231377,26.31,20.38
232412,26.31,20.40
233445,26.31,20.40
234479,26.31,20.38
235512,26.25,20.28
236546,26.31,20.38
237580,26.31,20.38
238613,26.25,20.38
239646,26.31,20.38
240680,26.31,20.38
241714,26.25,20.38
242748,26.31,20.38
243781,26.25,20.28
244814,26.31,19.97
245849,26.31,19.97
246882,26.31,19.87
247915,26.31,20.38
248949,26.25,19.96
249982,26.31,19.96
251016,26.31,19.96
252050,26.31,19.96
253083,26.31,19.96
254116,26.31,19.96
255151,26.31,19.97
256184,26.31,19.96
257218,26.31,19.96
258889,26.31,19.96
259922,26.31,19.55
261595,26.31,19.53
262628,26.25,19.53
