tempo_ms,temperatura_C,distancia_cm
319810,26.37,20.43
320844,26.37,20.45
321878,26.31,20.33
322911,26.37,20.45
323945,26.31,20.43
324978,26.37,20.43
326011,26.31,20.01
327046,26.37,20.43
328079,26.31,20.43
329113,26.37,20.43
330784,26.37,20.43
331817,26.31,20.43
332852,26.31,20.43
333885,26.37,20.43
334919,26.31,20.43
335952,26.31,20.33
336986,26.31,20.43
338020,26.31,20.43
339053,26.31,20.43
340086,26.37,20.43
341121,26.31,20.43
342154,26.31,20.43
343188,26.31,20.43
344221,26.31,20.33
345254,26.31,20.45
346289,26.31,20.43
347322,26.37,20.45
348355,26.31,19.57
349389,26.31,20.45
350423,26.31,20.45
351457,26.37,20.43
353128,26.37,20.43
354161,26.37,20.01
355195,26.31,20.43
356229,26.31,20.43
357263,26.37,20.43
358934,26.37,20.01
359967,26.37,20.43
361001,26.37,20.43
362035,26.31,20.43
363069,26.31,20.03
364740,26.31,20.03
365773,26.31,20.01
366808,26.37,20.01
367841,26.31,20.43
368875,26.37,20.43
370546,26.37,20.43
371579,26.37,20.01
373252,26.37,20.43
374285,26.31,20.43
375319,26.31,20.43
376352,26.31,20.43
377387,26.31,20.42
378420,26.31,19.91
379453,26.31,20.43
380487,26.31,20.43
381520,26.31,20.43
382554,26.31,20.43
383588,26.31,20.43
384621,26.31,20.43
385655,26.31,20.43
386689,26.31,20.31
387722,26.31,20.01
388756,26.31,20.01
389789,26.31,20.33
390822,26.31,20.43
